Days,Advertiser verticals,Device categories,Creative size,Buyer networks,Revenue,Ad impressions,Ad eCPM (£)
6/2/20,Computers & Consumer Electronics,Tablets,300x600,Agency B,£0.21 ,471,£0.45 
6/2/20,Internet & Telecom,Desktop,970x250,Agency C,£0.84 ,464,£1.81 
6/2/20,Beauty & Personal Care,Tablets,970x250,Agency B,£0.18 ,463,£0.38 
6/2/20,Finance,High-end mobile devices,Video/Overlay,Agency C,£2.31 ,459,£5.03 
6/2/20,Law & Government,Desktop,728x90,Agency C,£0.14 ,457,£0.31 
6/2/20,Apparel,High-end mobile devices,Native,Agency C,£0.21 ,449,£0.47 
6/2/20,Internet & Telecom,Tablets,320x50,Agency B,£0.19 ,446,£0.42 
6/2/20,Apparel,High-end mobile devices,300x250,Agency A,£0.59 ,436,£1.36 
6/2/20,Internet & Telecom,Desktop,300x600,Agency C,£0.56 ,436,£1.28 
6/2/20,Computers & Consumer Electronics,High-end mobile devices,Interstitial,Agency C,£1.40 ,435,£3.23 
6/2/20,Travel & Tourism,Tablets,Native,Agency B,£0.39 ,434,£0.90 
6/2/20,Internet & Telecom,Desktop,300x600,Agency E,£0.72 ,433,£1.66 
6/2/20,Law & Government,Desktop,300x250,Agency C,£0.20 ,429,£0.47 
6/2/20,Food & Groceries,Desktop,728x90,Agency C,£0.13 ,426,£0.31 
6/2/20,Travel & Tourism,High-end mobile devices,300x600,Agency B,£0.50 ,423,£1.18 
6/2/20,Health,Tablets,300x600,Agency B,£0.25 ,412,£0.62 
6/2/20,Internet & Telecom,Desktop,300x250,Agency E,£0.55 ,410,£1.34 
6/2/20,Law & Government,Tablets,970x250,Agency B,£0.11 ,404,£0.26 
6/2/20,Apparel,Tablets,Video/Overlay,Agency B,£0.91 ,403,£2.25 
6/2/20,Apparel,High-end mobile devices,300x600,Agency A,£0.64 ,402,£1.58 
6/2/20,Internet & Telecom,Tablets,300x600,Agency B,£0.25 ,398,£0.62 
6/2/20,Beauty & Personal Care,High-end mobile devices,300x250,Agency C,£0.70 ,396,£1.78 
6/2/20,Sports & Fitness,Tablets,300x600,Agency B,£0.27 ,396,£0.69 
6/2/20,Food & Groceries,Tablets,728x90,Agency B,£0.11 ,394,£0.27 
6/2/20,"Hobbies, Games & Leisure",High-end mobile devices,300x250,Agency C,£0.37 ,393,£0.94 
6/2/20,Apparel,Tablets,Interstitial,Agency B,£1.20 ,390,£3.08 
6/2/20,Family & Community,Tablets,Interstitial,Agency B,£1.61 ,389,£4.14 
6/2/20,Food & Groceries,High-end mobile devices,300x250,Agency C,£0.57 ,389,£1.46 
6/2/20,Occasions & Gifts,High-end mobile devices,300x600,Agency B,£0.27 ,383,£0.72 
6/2/20,Sports & Fitness,Tablets,970x250,Agency B,£0.09 ,379,£0.23 
6/2/20,Food & Groceries,Tablets,Video/Overlay,Agency B,£0.37 ,374,£0.99 
6/2/20,Internet & Telecom,Tablets,300x250,Agency C,£0.22 ,373,£0.60 
6/2/20,Mobile Apps,Tablets,970x250,Agency B,£0.06 ,372,£0.15 
6/2/20,Mobile Apps,Tablets,300x250,Agency B,£0.08 ,371,£0.22 
6/2/20,Health,Tablets,300x250,Agency C,£0.17 ,360,£0.48 
6/2/20,Arts & Entertainment,High-end mobile devices,Interstitial,Agency C,£1.00 ,357,£2.80 
6/2/20,Internet & Telecom,Desktop,728x90,Agency E,£0.48 ,355,£1.36 
6/2/20,Mobile Apps,Tablets,Native,Agency B,£0.29 ,354,£0.82 
6/2/20,Beauty & Personal Care,High-end mobile devices,300x600,Agency B,£0.34 ,353,£0.95 
6/2/20,"News, Books & Publications",High-end mobile devices,300x600,Agency B,£0.29 ,349,£0.82 
6/2/20,"Hobbies, Games & Leisure",Tablets,Interstitial,Agency B,£1.26 ,348,£3.62 
6/2/20,Computers & Consumer Electronics,Tablets,970x250,Agency B,£0.10 ,344,£0.29 
6/2/20,Jobs & Education,Tablets,Native,Agency B,£0.31 ,340,£0.90 
6/2/20,Autos & Vehicles,Desktop,300x250,Agency C,£0.30 ,333,£0.92 
6/2/20,Internet & Telecom,Desktop,970x250,Agency E,£0.60 ,332,£1.82 
6/2/20,Food & Groceries,Desktop,Native,Agency B,£0.35 ,327,£1.06 
6/2/20,Autos & Vehicles,Tablets,320x50,Agency B,£0.12 ,325,£0.37 
6/2/20,Business & Industrial,Desktop,970x250,Agency C,£0.19 ,324,£0.60 
6/2/20,Law & Government,Tablets,Interstitial,Agency B,£1.02 ,321,£3.17 
6/2/20,Beauty & Personal Care,Tablets,300x250,Agency C,£0.33 ,320,£1.03 
6/2/20,Dining & Nightlife,Desktop,300x250,Agency B,£0.03 ,319,£0.11 
6/2/20,Apparel,Desktop,300x250,Agency C,£0.20 ,318,£0.63 
6/2/20,Arts & Entertainment,Desktop,320x50,Agency C,£0.13 ,317,£0.41 
6/2/20,"Hobbies, Games & Leisure",High-end mobile devices,Video/Overlay,Agency C,£2.24 ,312,£7.18 
6/2/20,Occasions & Gifts,High-end mobile devices,320x50,Agency B,£0.16 ,312,£0.53 
6/2/20,Family & Community,Tablets,728x90,Agency C,£0.09 ,309,£0.29 
6/2/20,Family & Community,High-end mobile devices,300x250,Agency C,£0.14 ,307,£0.45 
6/2/20,Food & Groceries,High-end mobile devices,Native,Agency B,£0.19 ,304,£0.62 
6/2/20,"Hobbies, Games & Leisure",Desktop,320x50,Agency B,£0.09 ,303,£0.31 
6/2/20,Business & Industrial,Tablets,Interstitial,Agency B,£0.93 ,301,£3.08 
6/2/20,Real Estate,Tablets,970x250,Agency B,£0.09 ,299,£0.30 
6/2/20,Occasions & Gifts,Tablets,970x250,Agency B,£0.09 ,294,£0.29 
6/2/20,Jobs & Education,Desktop,300x250,Agency C,£0.20 ,293,£0.69 
6/2/20,Family & Community,Tablets,728x90,Agency B,£0.10 ,293,£0.34 
6/2/20,"Hobbies, Games & Leisure",Tablets,320x50,Agency B,£0.09 ,289,£0.30 
6/2/20,Internet & Telecom,Tablets,320x50,Agency C,£0.15 ,286,£0.51 
6/2/20,Business & Industrial,Tablets,320x50,Agency B,£0.11 ,286,£0.38 
6/2/20,Internet & Telecom,Desktop,320x50,Agency B,£0.06 ,286,£0.22 
6/2/20,"News, Books & Publications",Tablets,Native,Agency B,£0.23 ,285,£0.81 
6/2/20,Mobile Apps,High-end mobile devices,300x250,Agency B,£0.12 ,273,£0.46 
6/2/20,Apparel,High-end mobile devices,320x50,Agency C,£0.20 ,271,£0.75 
6/2/20,Jobs & Education,Tablets,970x250,Agency B,£0.06 ,269,£0.24 
6/2/20,Arts & Entertainment,High-end mobile devices,300x600,Agency C,£0.55 ,268,£2.07 
6/2/20,Law & Government,High-end mobile devices,Video/Overlay,Agency B,£0.66 ,263,£2.53 
6/2/20,Business & Industrial,Desktop,320x50,Agency B,£0.06 ,263,£0.23 
6/2/20,Jobs & Education,Desktop,728x90,Agency C,£0.08 ,262,£0.32 
6/2/20,Autos & Vehicles,Desktop,728x90,Agency C,£0.22 ,260,£0.85 
6/2/20,"Hobbies, Games & Leisure",Desktop,300x600,Agency C,£0.21 ,258,£0.81 
6/2/20,Arts & Entertainment,Tablets,320x50,Agency C,£0.17 ,258,£0.64 
6/2/20,"Hobbies, Games & Leisure",High-end mobile devices,Video/Overlay,Agency B,£0.95 ,256,£3.70 
6/2/20,Food & Groceries,Desktop,300x250,Agency C,£0.19 ,256,£0.75 
6/2/20,Occasions & Gifts,Tablets,728x90,Agency B,£0.06 ,255,£0.23 
6/2/20,"Hobbies, Games & Leisure",Desktop,Video/Overlay,Agency C,£1.50 ,254,£5.91 
6/2/20,Sports & Fitness,High-end mobile devices,300x250,Agency C,£0.26 ,254,£1.03 
6/2/20,Jobs & Education,High-end mobile devices,300x250,Agency C,£0.21 ,254,£0.84 
6/2/20,Travel & Tourism,Tablets,970x250,Agency B,£0.09 ,254,£0.34 
6/2/20,Family & Community,Tablets,300x600,Agency B,£0.15 ,248,£0.61 
6/2/20,Finance,High-end mobile devices,Native,Agency C,£0.24 ,246,£0.98 
6/2/20,Jobs & Education,Desktop,Video/Overlay,Agency B,£0.35 ,245,£1.43 
6/2/20,Business & Industrial,Desktop,300x600,Agency C,£0.15 ,241,£0.64 
6/2/20,Business & Industrial,Desktop,Native,Agency C,£0.13 ,241,£0.55 
6/2/20,Beauty & Personal Care,Tablets,300x600,Agency B,£0.26 ,240,£1.06 
6/2/20,Food & Groceries,High-end mobile devices,300x600,Agency B,£0.26 ,236,£1.09 
6/2/20,Apparel,Desktop,728x90,Agency C,£0.15 ,236,£0.66 
6/2/20,Mobile Apps,Desktop,728x90,Agency B,£0.04 ,231,£0.17 
6/2/20,Beauty & Personal Care,Desktop,300x600,Agency C,£0.19 ,227,£0.84 
6/2/20,Sports & Fitness,Tablets,728x90,Agency B,£0.08 ,227,£0.36 
6/2/20,Health,Tablets,728x90,Agency C,£0.06 ,227,£0.26 
6/2/20,Health,Desktop,300x600,Agency C,£0.15 ,223,£0.66 
6/2/20,Internet & Telecom,Tablets,300x250,Agency E,£0.34 ,220,£1.56 
6/2/20,Home & Garden,Desktop,320x50,Agency C,£0.23 ,218,£1.04 
6/2/20,Business & Industrial,Desktop,970x250,Agency A,£0.28 ,217,£1.30 
6/2/20,Mobile Apps,High-end mobile devices,Native,Agency B,£0.15 ,217,£0.71 
6/2/20,Home & Garden,Desktop,300x600,Agency C,£0.13 ,215,£0.58 
6/2/20,"Hobbies, Games & Leisure",Desktop,320x50,Agency C,£0.04 ,214,£0.18 
6/2/20,Travel & Tourism,Tablets,300x600,Agency B,£0.16 ,208,£0.77 
6/2/20,Arts & Entertainment,Tablets,300x600,Agency B,£0.11 ,208,£0.52 
6/2/20,Law & Government,Tablets,300x600,Agency B,£0.08 ,208,£0.37 
6/2/20,Beauty & Personal Care,Desktop,320x50,Agency B,£0.05 ,205,£0.24 
6/2/20,Real Estate,Tablets,300x600,Agency B,£0.12 ,204,£0.57 
6/2/20,Health,Desktop,Video/Overlay,Agency B,£0.37 ,202,£1.82 
6/2/20,Internet & Telecom,Tablets,728x90,Agency E,£0.30 ,202,£1.49 
6/2/20,Autos & Vehicles,High-end mobile devices,300x250,Agency E,£0.44 ,199,£2.19 
6/2/20,Autos & Vehicles,Desktop,320x50,Agency B,£0.05 ,196,£0.25 
6/2/20,Health,High-end mobile devices,300x250,Agency E,£0.36 ,194,£1.86 
6/2/20,"Hobbies, Games & Leisure",Desktop,970x250,Agency C,£0.19 ,194,£0.96 
6/2/20,"News, Books & Publications",Desktop,300x250,Agency C,£0.04 ,193,£0.21 
6/2/20,"News, Books & Publications",Tablets,970x250,Agency B,£0.09 ,191,£0.46 
6/2/20,Travel & Tourism,Desktop,728x90,Agency C,£0.04 ,188,£0.19 
6/2/20,Business & Industrial,Tablets,Video/Overlay,Agency B,£0.24 ,185,£1.30 
6/2/20,Arts & Entertainment,Tablets,728x90,Agency C,£0.17 ,184,£0.91 
6/2/20,Beauty & Personal Care,Tablets,320x50,Agency B,£0.05 ,184,£0.29 
6/2/20,Jobs & Education,Tablets,300x600,Agency B,£0.09 ,183,£0.48 
6/2/20,Finance,Tablets,Interstitial,Agency B,£0.61 ,182,£3.35 
6/2/20,Internet & Telecom,Desktop,Video/Overlay,Agency C,£0.34 ,182,£1.88 
6/2/20,Home & Garden,Tablets,320x50,Agency B,£0.05 ,179,£0.28 
6/2/20,Home & Garden,Tablets,Interstitial,Agency B,£0.57 ,177,£3.21 
6/2/20,Family & Community,High-end mobile devices,320x50,Agency C,£0.07 ,176,£0.42 
6/2/20,Sports & Fitness,High-end mobile devices,320x50,Agency C,£0.16 ,174,£0.90 
6/2/20,Finance,Tablets,320x50,Agency B,£0.09 ,174,£0.53 
6/2/20,Finance,Tablets,Video/Overlay,Agency C,£0.88 ,171,£5.17 
6/2/20,Internet & Telecom,Tablets,Native,Agency C,£0.21 ,170,£1.24 
6/2/20,Business & Industrial,High-end mobile devices,Video/Overlay,Agency C,£0.65 ,169,£3.84 
6/2/20,Home & Garden,Desktop,320x50,Agency B,£0.05 ,166,£0.29 
6/2/20,Arts & Entertainment,Tablets,300x250,Agency C,£0.16 ,165,£0.98 
6/2/20,Computers & Consumer Electronics,Desktop,Native,Agency C,£0.07 ,165,£0.43 
6/2/20,Arts & Entertainment,Tablets,320x50,Agency B,£0.04 ,158,£0.27 
6/2/20,Home & Garden,High-end mobile devices,Video/Overlay,Agency C,£1.46 ,157,£9.29 
6/2/20,Autos & Vehicles,High-end mobile devices,Video/Overlay,Agency B,£0.23 ,157,£1.47 
6/2/20,Business & Industrial,Tablets,728x90,Agency C,£0.02 ,156,£0.11 
6/2/20,Home & Garden,High-end mobile devices,Video/Overlay,Agency B,£0.57 ,154,£3.69 
6/2/20,Dining & Nightlife,High-end mobile devices,320x50,Agency C,£0.09 ,154,£0.56 
6/2/20,"News, Books & Publications",Desktop,728x90,Agency C,£0.05 ,153,£0.30 
6/2/20,Home & Garden,High-end mobile devices,Native,Agency C,£0.10 ,152,£0.64 
6/2/20,Family & Community,Tablets,320x50,Agency B,£0.03 ,152,£0.23 
6/2/20,"Hobbies, Games & Leisure",Desktop,Video/Overlay,Agency B,£0.32 ,151,£2.14 
6/2/20,Arts & Entertainment,Desktop,Video/Overlay,Agency B,£0.14 ,151,£0.90 
6/2/20,Apparel,Tablets,320x50,Agency B,£0.06 ,151,£0.43 
6/2/20,Home & Garden,Desktop,970x250,Agency C,£0.11 ,150,£0.71 
6/2/20,Internet & Telecom,Tablets,300x600,Agency E,£0.24 ,146,£1.65 
6/2/20,Autos & Vehicles,High-end mobile devices,300x600,Agency E,£0.20 ,142,£1.43 
6/2/20,Jobs & Education,High-end mobile devices,320x50,Agency C,£0.08 ,141,£0.54 
6/2/20,Home & Garden,Desktop,Video/Overlay,Agency C,£1.03 ,140,£7.36 
6/2/20,Beauty & Personal Care,Desktop,728x90,Agency C,£0.10 ,139,£0.70 
6/2/20,Real Estate,Desktop,728x90,Agency C,£0.10 ,139,£0.68 
6/2/20,"News, Books & Publications",Tablets,320x50,Agency B,£0.08 ,139,£0.58 
6/2/20,Law & Government,High-end mobile devices,300x250,Agency C,£0.17 ,138,£1.25 
6/2/20,Business & Industrial,Desktop,Video/Overlay,Agency C,£0.57 ,137,£4.18 
6/2/20,Home & Garden,Tablets,320x50,Agency C,£0.07 ,135,£0.53 
6/2/20,Real Estate,Tablets,Interstitial,Agency B,£0.45 ,134,£3.38 
6/2/20,Law & Government,Tablets,320x50,Agency B,£0.08 ,134,£0.63 
6/2/20,Dining & Nightlife,Tablets,728x90,Agency B,£0.03 ,132,£0.20 
6/2/20,Real Estate,Desktop,300x250,Agency C,£0.09 ,129,£0.68 
6/2/20,Computers & Consumer Electronics,Desktop,320x50,Agency B,£0.04 ,128,£0.34 
6/2/20,"News, Books & Publications",Tablets,300x600,Agency B,£0.16 ,127,£1.28 
6/2/20,Home & Garden,Tablets,300x250,Agency C,£0.12 ,127,£0.92 
6/2/20,Health,Desktop,320x50,Agency C,£0.04 ,126,£0.32 
6/2/20,(unknown),High-end mobile devices,Native,Agency C,£0.04 ,126,£0.28 
6/2/20,"Hobbies, Games & Leisure",Tablets,320x50,Agency C,£0.03 ,125,£0.26 
6/2/20,Autos & Vehicles,Tablets,Interstitial,Agency B,£0.39 ,124,£3.17 
6/2/20,Health,Tablets,Interstitial,Agency B,£0.37 ,124,£2.96 
6/2/20,Autos & Vehicles,Desktop,300x600,Agency C,£0.15 ,124,£1.18 
6/2/20,Home & Garden,Tablets,728x90,Agency C,£0.05 ,124,£0.42 
6/2/20,(unknown),High-end mobile devices,300x250,Agency B,£0.10 ,122,£0.83 
6/2/20,Business & Industrial,Tablets,300x250,Agency C,£0.05 ,122,£0.40 
6/2/20,Internet & Telecom,High-end mobile devices,Video/Overlay,Agency C,£0.34 ,121,£2.82 
6/2/20,Food & Groceries,Desktop,300x600,Agency C,£0.04 ,120,£0.33 
6/2/20,Food & Groceries,Tablets,320x50,Agency B,£0.02 ,120,£0.20 
6/2/20,Health,High-end mobile devices,Native,Agency C,£0.08 ,118,£0.66 
6/2/20,Business & Industrial,Tablets,320x50,Agency C,£0.02 ,117,£0.21 
6/2/20,Apparel,Desktop,320x50,Agency B,£0.02 ,117,£0.19 
6/2/20,Law & Government,Desktop,Video/Overlay,Agency B,£0.45 ,116,£3.85 
6/2/20,Jobs & Education,Desktop,320x50,Agency B,£0.02 ,116,£0.21 
6/2/20,Sports & Fitness,Desktop,300x250,Agency C,£0.05 ,115,£0.47 
6/2/20,Mobile Apps,Tablets,728x90,Agency B,£0.02 ,115,£0.15 
6/2/20,Family & Community,Tablets,300x250,Agency C,£0.04 ,114,£0.36 
6/2/20,Health,Tablets,Video/Overlay,Agency B,£0.17 ,113,£1.47 
6/2/20,Real Estate,High-end mobile devices,300x250,Agency C,£0.19 ,112,£1.68 
6/2/20,Home & Garden,High-end mobile devices,300x600,Agency C,£0.08 ,112,£0.75 
6/2/20,Real Estate,Desktop,Video/Overlay,Agency B,£0.31 ,110,£2.86 
6/2/20,Autos & Vehicles,Tablets,Video/Overlay,Agency B,£0.13 ,110,£1.20 
6/2/20,Mobile Apps,High-end mobile devices,300x600,Agency B,£0.05 ,110,£0.47 
6/2/20,Home & Garden,Desktop,Native,Agency C,£0.08 ,109,£0.73 
6/2/20,Mobile Apps,Tablets,Interstitial,Agency B,£0.30 ,107,£2.82 
6/2/20,Health,Tablets,320x50,Agency C,£0.08 ,105,£0.73 
6/2/20,Business & Industrial,High-end mobile devices,Native,Agency C,£0.15 ,104,£1.48 
6/2/20,Food & Groceries,Tablets,728x90,Agency C,£0.02 ,103,£0.22 
6/2/20,Finance,Tablets,300x600,Agency C,£0.10 ,102,£0.99 
6/2/20,Autos & Vehicles,High-end mobile devices,Native,Agency C,£0.05 ,102,£0.52 
6/2/20,Real Estate,High-end mobile devices,Video/Overlay,Agency B,£0.27 ,100,£2.74 
6/2/20,"Hobbies, Games & Leisure",Tablets,300x250,Agency C,£0.04 ,100,£0.43 
6/2/20,Computers & Consumer Electronics,Tablets,970x250,Agency C,£0.01 ,99,£0.12 
6/2/20,Internet & Telecom,Tablets,970x250,Agency E,£0.14 ,97,£1.48 
6/2/20,Dining & Nightlife,Desktop,970x250,Agency B,£0.12 ,97,£1.23 
6/2/20,Dining & Nightlife,High-end mobile devices,300x250,Agency B,£0.10 ,95,£1.06 
6/2/20,Computers & Consumer Electronics,Tablets,728x90,Agency C,£0.05 ,95,£0.52 
6/2/20,Sports & Fitness,Tablets,728x90,Agency C,£0.01 ,94,£0.09 
6/2/20,Family & Community,Desktop,300x600,Agency C,£0.05 ,93,£0.52 
6/2/20,Finance,Tablets,Native,Agency C,£0.04 ,91,£0.47 
6/2/20,Autos & Vehicles,Tablets,300x250,Agency C,£0.11 ,90,£1.24 
6/2/20,Apparel,Desktop,300x600,Agency C,£0.07 ,90,£0.83 
6/2/20,Home & Garden,Desktop,Video/Overlay,Agency B,£0.40 ,89,£4.45 
6/2/20,Family & Community,Desktop,320x50,Agency B,£0.01 ,87,£0.17 
6/2/20,Occasions & Gifts,Desktop,728x90,Agency C,£0.01 ,87,£0.07 
6/2/20,Finance,Desktop,320x50,Agency B,£0.03 ,85,£0.36 
6/2/20,"Hobbies, Games & Leisure",Tablets,Video/Overlay,Agency C,£0.55 ,84,£6.60 
6/2/20,Dining & Nightlife,High-end mobile devices,Native,Agency B,£0.07 ,84,£0.78 
6/2/20,Finance,Tablets,970x250,Agency C,£0.04 ,84,£0.44 
6/2/20,Autos & Vehicles,Connected TV,Native,Agency B,£0.03 ,84,£0.33 
6/2/20,Health,High-end mobile devices,300x600,Agency E,£0.15 ,83,£1.79 
6/2/20,Health,High-end mobile devices,300x600,Agency C,£0.05 ,83,£0.65 
6/2/20,(unknown),Desktop,728x90,Agency B,£0.01 ,82,£0.10 
6/2/20,Jobs & Education,Tablets,Interstitial,Agency B,£0.24 ,81,£2.98 
6/2/20,Dining & Nightlife,Desktop,300x600,Agency B,£0.07 ,80,£0.93 
6/2/20,Health,Desktop,970x250,Agency C,£0.05 ,80,£0.56 
6/2/20,Mobile Apps,High-end mobile devices,320x50,Agency B,£0.03 ,79,£0.33 
6/2/20,Internet & Telecom,Tablets,728x90,Agency C,£0.02 ,79,£0.22 
6/2/20,Travel & Tourism,Desktop,300x250,Agency C,£0.04 ,78,£0.56 
6/2/20,Autos & Vehicles,Desktop,970x250,Agency C,£0.11 ,77,£1.43 
6/2/20,Food & Groceries,Desktop,320x50,Agency B,£0.03 ,76,£0.34 
6/2/20,Autos & Vehicles,Desktop,Video/Overlay,Agency B,£0.11 ,75,£1.44 
6/2/20,Apparel,Tablets,300x250,Agency C,£0.04 ,75,£0.58 
6/2/20,Autos & Vehicles,Tablets,320x50,Agency C,£0.04 ,75,£0.50 
6/2/20,Family & Community,High-end mobile devices,320x50,Agency E,£0.10 ,73,£1.39 
6/2/20,Food & Groceries,Tablets,300x600,Agency B,£0.06 ,73,£0.78 
6/2/20,Computers & Consumer Electronics,Tablets,320x50,Agency B,£0.03 ,73,£0.47 
6/2/20,Arts & Entertainment,Tablets,970x250,Agency C,£0.07 ,72,£0.92 
6/2/20,Jobs & Education,Tablets,320x50,Agency B,£0.02 ,72,£0.34 
6/2/20,Occasions & Gifts,Tablets,Interstitial,Agency B,£0.19 ,71,£2.66 
6/2/20,"Hobbies, Games & Leisure",Tablets,Video/Overlay,Agency B,£0.11 ,68,£1.56 
6/2/20,Apparel,Desktop,970x250,Agency C,£0.07 ,68,£0.98 
6/2/20,Travel & Tourism,High-end mobile devices,300x250,Agency C,£0.03 ,68,£0.43 
6/2/20,Food & Groceries,Tablets,320x50,Agency C,£0.07 ,67,£1.02 
6/2/20,Business & Industrial,High-end mobile devices,300x600,Agency A,£0.06 ,67,£0.93 
6/2/20,Business & Industrial,Desktop,300x600,Agency A,£0.06 ,67,£0.85 
6/2/20,Food & Groceries,Tablets,Native,Agency B,£0.04 ,67,£0.65 
6/2/20,Computers & Consumer Electronics,Tablets,320x50,Agency C,£0.01 ,66,£0.08 
6/2/20,Computers & Consumer Electronics,High-end mobile devices,300x600,Agency C,£0.11 ,65,£1.71 
6/2/20,Sports & Fitness,High-end mobile devices,300x600,Agency C,£0.06 ,65,£0.91 
6/2/20,(unknown),Desktop,970x250,Agency B,£0.01 ,63,£0.21 
6/2/20,Health,High-end mobile devices,Video/Overlay,Agency C,£0.29 ,62,£4.65 
6/2/20,Beauty & Personal Care,Tablets,300x600,Agency C,£0.09 ,62,£1.38 
6/2/20,Food & Groceries,Tablets,970x250,Agency B,£0.02 ,62,£0.37 
6/2/20,Autos & Vehicles,Tablets,300x600,Agency C,£0.12 ,61,£1.94 
6/2/20,Health,Tablets,300x600,Agency C,£0.01 ,61,£0.24 
6/2/20,Dining & Nightlife,Tablets,300x250,Agency B,£0.01 ,61,£0.23 
6/2/20,Business & Industrial,High-end mobile devices,320x50,Agency A,£0.03 ,59,£0.43 
6/2/20,Home & Garden,Tablets,Native,Agency C,£0.01 ,59,£0.19 
6/2/20,Mobile Apps,Desktop,300x600,Agency B,£0.03 ,58,£0.44 
6/2/20,Finance,High-end mobile devices,300x250,Agency E,£0.13 ,56,£2.26 
6/2/20,Autos & Vehicles,Tablets,728x90,Agency C,£0.07 ,56,£1.34 
6/2/20,Real Estate,Desktop,300x600,Agency C,£0.03 ,56,£0.62 
6/2/20,Dining & Nightlife,Desktop,Native,Agency B,£0.03 ,56,£0.62 
6/2/20,Apparel,Desktop,320x50,Agency C,£0.03 ,55,£0.48 
6/2/20,Travel & Tourism,Tablets,320x50,Agency B,£0.02 ,55,£0.45 
6/2/20,Travel & Tourism,Tablets,728x90,Agency C,£0.02 ,55,£0.32 
6/2/20,"Hobbies, Games & Leisure",High-end mobile devices,Interstitial,Agency C,£0.26 ,54,£4.88 
6/2/20,Business & Industrial,Tablets,Video/Overlay,Agency C,£0.19 ,54,£3.56 
6/2/20,Law & Government,High-end mobile devices,320x50,Agency C,£0.08 ,54,£1.57 
6/2/20,Autos & Vehicles,High-end mobile devices,320x50,Agency E,£0.02 ,54,£0.46 
6/2/20,Internet & Telecom,Tablets,320x50,Agency E,£0.07 ,53,£1.34 
6/2/20,Beauty & Personal Care,Tablets,320x50,Agency C,£0.09 ,52,£1.66 
6/2/20,Apparel,Desktop,Native,Agency C,£0.02 ,52,£0.45 
6/2/20,Arts & Entertainment,Desktop,320x50,Agency B,£0.01 ,52,£0.29 
6/2/20,Dining & Nightlife,Tablets,320x50,Agency B,£0.00 ,52,£0.08 
6/2/20,Travel & Tourism,Desktop,Video/Overlay,Agency C,£0.19 ,51,£3.73 
6/2/20,Business & Industrial,Tablets,970x250,Agency C,£0.01 ,51,£0.25 
6/2/20,Dining & Nightlife,Desktop,320x50,Agency B,£0.00 ,51,£0.07 
6/2/20,Food & Groceries,Desktop,320x50,Agency C,£0.03 ,50,£0.53 
6/2/20,Finance,High-end mobile devices,728x90,Agency B,£0.01 ,49,£0.10 
6/2/20,Mobile Apps,Tablets,300x600,Agency B,£0.01 ,48,£0.20 
6/2/20,Real Estate,Tablets,320x50,Agency B,£0.02 ,47,£0.45 
6/2/20,"News, Books & Publications",Desktop,320x50,Agency B,£0.01 ,47,£0.18 
6/2/20,Jobs & Education,Desktop,320x50,Agency C,£0.01 ,47,£0.13 
6/2/20,Arts & Entertainment,Tablets,300x600,Agency C,£0.05 ,46,£1.02 
6/2/20,Computers & Consumer Electronics,Tablets,300x250,Agency C,£0.04 ,46,£0.91 
6/2/20,Apparel,Tablets,Native,Agency C,£0.01 ,46,£0.19 
6/2/20,Computers & Consumer Electronics,Desktop,320x50,Agency C,£0.00 ,46,£0.09 
6/2/20,Travel & Tourism,Tablets,Interstitial,Agency B,£0.16 ,45,£3.47 
6/2/20,Finance,High-end mobile devices,300x600,Agency E,£0.15 ,45,£3.39 
6/2/20,Beauty & Personal Care,Tablets,Interstitial,Agency B,£0.13 ,45,£2.95 
6/2/20,Food & Groceries,Tablets,300x250,Agency C,£0.05 ,45,£1.07 
6/2/20,Business & Industrial,Tablets,Native,Agency C,£0.04 ,45,£0.79 
6/2/20,Autos & Vehicles,Desktop,Native,Agency C,£0.03 ,45,£0.59 
6/2/20,(unknown),Tablets,728x90,Agency B,£0.00 ,45,£0.08 
6/2/20,Finance,Desktop,Video/Overlay,Agency B,£0.14 ,44,£3.18 
6/2/20,Family & Community,High-end mobile devices,300x250,Agency E,£0.07 ,43,£1.53 
6/2/20,Food & Groceries,High-end mobile devices,300x600,Agency C,£0.05 ,43,£1.08 
6/2/20,Finance,Desktop,728x90,Agency E,£0.10 ,42,£2.39 
6/2/20,"Hobbies, Games & Leisure",High-end mobile devices,300x600,Agency C,£0.03 ,42,£0.68 
6/2/20,Finance,Desktop,300x250,Agency E,£0.11 ,41,£2.64 
6/2/20,Business & Industrial,High-end mobile devices,300x600,Agency C,£0.03 ,41,£0.71 
6/2/20,Law & Government,Tablets,300x250,Agency C,£0.01 ,41,£0.34 
6/2/20,Computers & Consumer Electronics,High-end mobile devices,Video/Overlay,Agency C,£0.31 ,40,£7.71 
6/2/20,Jobs & Education,Tablets,300x250,Agency C,£0.02 ,40,£0.55 
6/2/20,Computers & Consumer Electronics,Connected TV,728x90,Agency B,£0.01 ,40,£0.25 
6/2/20,Finance,Desktop,300x600,Agency E,£0.13 ,39,£3.29 
6/2/20,Home & Garden,Tablets,Video/Overlay,Agency B,£0.09 ,39,£2.20 
6/2/20,Internet & Telecom,High-end mobile devices,300x600,Agency C,£0.06 ,39,£1.56 
6/2/20,Dining & Nightlife,High-end mobile devices,300x250,Agency C,£0.04 ,39,£1.02 
6/2/20,Real Estate,High-end mobile devices,320x50,Agency C,£0.02 ,39,£0.60 
